Datum;Tijd;Parameter;Locatie;Meting;Astronomisch getijden;Eenheid;Bemonsteringshoogte;Referentievlak;
14-11-2019;12:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-2;;cm;-999999999;NAP;
14-11-2019;12:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-2;;cm;-999999999;NAP;
14-11-2019;12:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-2;;cm;-999999999;NAP;
14-11-2019;12:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-3;;cm;-999999999;NAP;
14-11-2019;12:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-4;;cm;-999999999;NAP;
14-11-2019;13:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-4;;cm;-999999999;NAP;
14-11-2019;13:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-5;;cm;-999999999;NAP;
14-11-2019;13:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-5;;cm;-999999999;NAP;
14-11-2019;13:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-5;;cm;-999999999;NAP;
14-11-2019;13:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-7;;cm;-999999999;NAP;
14-11-2019;13:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-6;;cm;-999999999;NAP;
14-11-2019;14:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-6;;cm;-999999999;NAP;
14-11-2019;14:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-4;;cm;-999999999;NAP;
14-11-2019;14:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-2;;cm;-999999999;NAP;
14-11-2019;14:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;1;;cm;-999999999;NAP;
14-11-2019;14:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;6;;cm;-999999999;NAP;
