r_m	depth_m	t_min	s_m
30	30	0.1	0.04
30	30	0.25	0.08
30	30	0.5	0.13
30	30	0.7	0.18
30	30	1	0.23
30	30	1.4	0.28
30	30	1.9	0.33
30	30	2.33	0.36
30	30	2.8	0.39
30	30	3.36	0.42
30	30	4	0.45
30	30	5.35	0.5
30	30	6.8	0.54
30	30	8.3	0.57
30	30	8.7	0.58
30	30	10	0.6
30	30	13.1	0.64
30	30	18	0.68
30	30	27	0.742
30	30	33	0.753
30	30	41	0.779
30	30	48	0.793
30	30	59	0.819
30	30	80	0.855
30	30	95	0.873
30	30	139	0.915
30	30	181	0.935
30	30	245	0.966
30	30	300	0.99
30	30	360	1.007
30	30	480	1.05
30	30	600	1.053
30	30	728	1.072
30	30	830	1.088
90	24	1.5	0.015
90	24	2	0.021
90	24	2.16	0.023
90	24	2.66	0.044
90	24	3	0.054
90	24	3.5	0.075
90	24	4	0.09
90	24	4.33	0.104
90	24	5.5	0.133
90	24	6	0.153
90	24	7.5	0.178
90	24	9	0.206
90	24	13	0.25
90	24	15	0.275
90	24	18	0.305
90	24	25	0.348
90	24	30	0.364
90	24	40	0.404
90	24	53	0.429
90	24	60	0.444
90	24	75	0.467
90	24	90	0.494
90	24	105	0.507
90	24	120	0.528
90	24	150	0.55
90	24	180	0.569
90	24	248	0.593
90	24	301	0.614
90	24	363	0.636
90	24	422	0.657
90	24	542	0.679
90	24	602	0.688
90	24	680	0.701
90	24	785	0.718
90	24	845	0.716
215	20	66	0.089
215	20	127	0.138
215	20	185	0.165
215	20	251	0.186
215	20	305	0.196
215	20	366	0.207
215	20	430	0.214
215	20	606	0.227
215	20	780	0.25
