r_m	t_min	dd_m
30	22	0.138
30	26	0.141
30	33	0.15
30	42	0.156
30	52	0.163
30	66	0.171
30	95	0.18
30	125	0.19
30	180	0.201
30	240	0.21
30	300	0.217
30	360	0.22
30	420	0.224
30	480	0.228
60	27	0.081
60	34	0.089
60	43	0.094
60	53	0.101
60	68	0.109
60	96	0.12
60	127	0.127
60	180	0.137
60	240	0.148
60	300	0.155
60	360	0.158
60	420	0.16
60	480	0.164
90	35	0.069
90	44	0.077
90	54	0.083
90	67	0.091
90	97	0.1
90	129	0.109
90	180	0.12
90	240	0.129
90	300	0.136
90	360	0.141
90	420	0.142
90	480	0.143
120	36	0.063
120	45	0.068
120	55	0.075
120	72	0.086
120	98	0.092
120	130	0.105
120	180	0.113
120	240	0.122
120	300	0.125
120	360	0.127
120	420	0.129
