"s [m](t [s]), created by Plot Digitizer, 2.6.8"
"Date: 11/30/16, 12:00:39 AM"


27
t [s],s [m]
885.550,0.0791084,
1413.61,0.0838507,
2257.25,0.0850458,
3257.19,0.0994730,
4497.54,0.107680,
5872.74,0.119117,
7598.35,0.0989429,
9586.03,0.126277,
11478.6,0.144697,
14874.5,0.143756,
18625.6,0.161629,
22190.6,0.171454,
25574.4,0.175924,
28749.2,0.176062,
32047.3,0.177652,
36330.1,0.176339,
40484.2,0.186974,
47022.6,0.208386,
54168.4,0.228430,
65100.2,0.230609,
75682.8,0.225190,
86463.2,0.244806,
101333,0.249150,
117693,0.279985,
139084,0.287333,
160274,0.299738,
177144,0.310018,
