Grondonderzoek,Maaiveldzetting_mm,x_coordinaat,y_coordinaat
13057.007,0,129227,401099
13057.006,0,129211,401085
13057.011,0,129240,401085
13057.001,0,129183,401085
13057.004,0,129229,401128
13057.012,0,129255,401100
13057.005,0,129196,401071
13057.002,0,129198,401098
13057.010,0,129224,401071
13057.003,0,129214,401113
13057.009,0,129209,401057
13057.008,0,129242,401114
13057.013,0,129228,401114
AA11431_01,0,126899,401438
AA11431_04,0,127044,401360
AA11431_15,0,127480,401145
AA11431_12,0,127382,401151
AA11431_13,0,127393,401207
AA11431_21,0,127733,400991
AA11431_05,0,127090,401330
AA11431_06,0,127125,401309
AA11431_19,0,127646,401043
AA11431_20,0,127689,401016
AA11431_09,0,127257,401228
AA11431_10,0,127302,401199
AA11431_18,0,127606,401071
AA11431_11,0,127340,401176
AA11431_08,0,127210,401256
AA11431_07,0,127169,401282
AA11431_16,0,127521,401121
AA11431_17,0,127562,401095
AA11431_03,0,126999,401387
AA11431_14,0,127444,401182
AA11431_02,0,126952,401406
S40144A,1,130924,399366
s40007,0,127350,400838
S50008,4,130076,399449
s40004,1,128486,400153
S40005,1,129645,399451
s40112,0,127270,401829
s40081,0,128519,398657
s40020,0,126852,400925
s40043,0,127836,400334
S40067,0,129352,398623
s40093,0,128499,398076
S40061,0,130504,398210
S40077,12,130601,397799
S40087,0,129160,398278
S40149,2,130075,399676
DKP003,0,128921,400168
S40130,0,129829,400975
s40037,0,127229,400512
s40042,0,127797,400165
S40039,1,131277,398524
s40109,0,126904,399056
s40110,0,127369,399008
DKP005,0,128614,400358
S40041,1,130509,398754
s40007A,0,127420,400855
s40079,0,127686,399102
s40080,0,128137,398881
DKP008,0,128128,400659
s40022,1,128798,399759
S40095,0,129184,397667
s40106,0,126940,397739
s40122,0,128616,400977
S40132,0,130160,400630
s40066,0,128547,399072
s40125,0,128461,400729
S40134,0,130112,400412
S40137,2,129335,400108
S50005,4,130370,399256
S40138A,1,129610,399958
s40078,0,126326,399659
s40083,0,126983,399417
S50015,1,129905,398793
DKP011,0,127660,400935
s40049,0,126647,400478
s40050,0,127301,400112
S50001,220,130399,399366
s40069,0,127604,399602
S40147,4,131708,399935
DKP009,0,127951,400770
DKP002,0,129073,400073
DKP010,0,127763,400876
s40091,0,127640,398464
S40127,0,129171,400452
s40084,0,127381,399217
DKP001,1,129213,399974
s40119,0,127984,400881
s40120,0,128816,401518
S40139,0,129897,400233
S40140,1,130083,400064
s40121,0,128454,401169
s40115,0,127966,401464
s40027,1,128293,400052
S40072,0,128795,398940
S40029,1,130990,398829
S40030,0,130944,398628
S40099,9,130148,397727
S40062,2,131205,397987
S40073,18,129494,398215
s40082,0,126660,399570
s40123,0,129205,401398
S40076,1,131120,397641
s40088,0,126420,398936
s40126,1,128773,400500
S40070,0,129128,398781
S40094,0,128806,397855
S40104,0,129755,397172
S40136,1,129503,400262
S40131,0,130531,400707
S50006,41,130216,399295
s40038,1,128303,399835
S50007,84,130291,399271
S50009,35,130416,399241
S50010,5,130133,399350
s40036,1,128690,399600
s40085,0,127851,399013
s40011,0,127058,401060
S40142,2,131131,400020
S40048,1,131106,398274
s40052,0,128607,399342
s40034,1,128042,400006
s40009,1,129022,399813
S40046,0,130525,398444
s40116,0,127730,401038
s40040,1,126625,400774
S40017,15,130352,398963
s40026,0,127601,400503
S40044,0,129615,398698
S40045,29,130291,398569
s40055,0,127689,399912
s40068,0,126847,400036
S40074,1,130963,398093
s40003,0,126806,401203
S40006,0,130918,398981
s40063,2,126593,400164
s40108,0,126457,399346
S40018,0,130685,398890
S40047,3,130855,398327
s40054,0,127087,400291
s40111,0,126902,401544
s40118,0,128166,401389
S40135,0,129702,400450
S40058,0,129403,398900
s41025,0,127302,400634
s50013,0,127658,398058
s40031,0,127523,400361
s40051,0,127976,399658
S40059,0,129571,398539
S40060,34,130154,398331
S40100,0,129695,397873
S40101,0,129929,397818
s40107,0,126110,398017
s40008,0,128028,400448
S40053,3,129091,399021
S40002,0,129702,398959
S40146,1,131245,399610
s40114,0,127893,401860
S40098,10,130947,397313
s40021,0,128042,400263
S40057,0,128840,399184
DKP007,0,128314,400537
s40014,1,128695,399920
s40013,1,128327,400335
S40019,0,131224,398778
s40113,0,127376,401438
S50002,13,130224,399398
s40032,0,127030,400624
s40117,0,128163,401868
S40075,0,130108,397980
S40143,1,131324,400438
s40064,0,127275,399774
s40124,0,129448,401137
s50014,0,127006,399805
s40092,0,128055,398186
DKP004,1,128769,400263
s41032,0,126978,400620
s41054,0,127036,400354
S50012,14,130781,396881
s40012,0,127733,400747
s40025,0,127309,400661
s40065,0,127927,399360
S40133,0,130488,400014
s40056,0,128279,399538
S40097,0,130449,397316
S40141,0,129967,399804
S40144,0,130928,399362
DKP006,0,128459,400453
s40089,0,126799,398724
s40071,0,128217,399247
s40090,0,127293,398524
S40001,69,130190,398831
S50003,249,130326,399378
s40028,1,128638,399872
S40145,47,130880,399818
s40128,0,129606,400769
s40033,0,126468,401005
S50004,73,130466,399351
DKM2,1,131187,399214
DKM86,0,127645,400935
DKM1,6,131219,399208
DKM33,80,130506,399277
DKM47,109,130466,399267
DKM89,5,129508,399799
DKM31,218,130555,399268
DKM65,4,130082,399396
DKM73,1,129218,399919
DKM3,6,131128,399240
DKM39,10,130539,399230
DKM40,117,130523,399259
DKM14,7,130813,399256
DKM5,4,131095,399325
DKM104,8,131232,399193
DKM61,4,130115,399427
DKM103,9,131242,399171
DKM72,1,129203,399978
DKM12,31,131075,399191
DKM78,1,129341,399896
DKM43,15,130458,399216
DKM69,1,130081,399463
DKM11,16,131181,399169
DKM70,1,129242,399953
DKM35,2,130503,399293
DKM58,100,130197,399324
DKM55,61,130289,399291
DKM23,16,130689,399221
DKM54,296,130318,399282
DKM81,17,128291,400541
DKM52,84,130375,399272
DKM68,3,130050,399401
DKM84,1,128276,400504
DKM85,10,128259,400517
